date	Italy	US	China	Korea, South	Iran
2020-01-22	0	1	548	1	0
2020-01-23	0	1	643	1	0
2020-01-24	0	2	920	2	0
2020-01-25	0	2	1406	2	0
2020-01-26	0	5	2075	3	0
2020-01-27	0	5	2877	4	0
2020-01-28	0	5	5509	4	0
2020-01-29	0	5	6087	4	0
2020-01-30	0	5	8141	4	0
2020-01-31	2	7	9802	11	0
2020-02-01	2	8	11891	12	0
2020-02-02	2	8	16630	15	0
2020-02-03	2	11	19716	15	0
2020-02-04	2	11	23707	16	0
2020-02-05	2	11	27440	19	0
2020-02-06	2	11	30587	23	0
2020-02-07	3	11	34110	24	0
2020-02-08	3	11	36814	24	0
2020-02-09	3	11	39829	25	0
2020-02-10	3	11	42354	27	0
2020-02-11	3	12	44386	28	0
2020-02-12	3	12	44759	28	0
2020-02-13	3	13	59895	28	0
2020-02-14	3	13	66358	28	0
2020-02-15	3	13	68413	28	0
2020-02-16	3	13	70513	29	0
2020-02-17	3	13	72434	30	0
2020-02-18	3	13	74211	31	0
2020-02-19	3	13	74619	31	2
2020-02-20	3	13	75077	104	5
2020-02-21	20	15	75550	204	18
2020-02-22	62	15	77001	433	28
2020-02-23	155	15	77022	602	43
2020-02-24	229	51	77241	833	61
2020-02-25	322	51	77754	977	95
2020-02-26	453	57	78166	1261	139
2020-02-27	655	58	78600	1766	245
2020-02-28	888	60	78928	2337	388
2020-02-29	1128	68	79356	3150	593
2020-03-01	1694	74	79932	3736	978
2020-03-02	2036	98	80136	4335	1501
2020-03-03	2502	118	80261	5186	2336
2020-03-04	3089	149	80386	5621	2922
2020-03-05	3858	217	80537	6088	3513
2020-03-06	4636	262	80690	6593	4747
2020-03-07	5883	402	80770	7041	5823
2020-03-08	7375	518	80823	7314	6566
2020-03-09	9172	583	80860	7478	7161
2020-03-10	10149	959	80887	7513	8042
2020-03-11	12462	1281	80921	7755	9000
2020-03-12	12462	1663	80932	7869	10075
2020-03-13	17660	2179	80945	7979	11364
2020-03-14	21157	2727	80977	8086	12729
2020-03-15	24747	3499	81003	8162	13938
2020-03-16	27980	4632	81033	8236	14991
2020-03-17	31506	6421	81058	8320	16169
2020-03-18	35713	7783	81102	8413	17361
2020-03-19	41035	13747	81156	8565	18407
2020-03-20	47021	19273	81250	8652	19644
2020-03-21	53578	25600	81305	8799	20610
2020-03-22	59138	33276	81435	8961	21638
2020-03-23	63927	43843	81498	8961	23049
2020-03-24	69176	53736	81591	9037	24811
2020-03-25	74386	65778	81661	9137	27017
2020-03-26	80589	83836	81782	9241	29406
2020-03-27	86498	101657	81897	9332	32332
2020-03-28	92472	121465	81999	9478	35408
2020-03-29	97689	140909	82122	9583	38309
2020-03-30	101739	161831	82198	9661	41495
2020-03-31	105792	188172	82279	9786	44605
2020-04-01	110574	213242	82361	9887	47593
2020-04-02	115242	243622	82432	9976	50468
2020-04-03	119827	275367	82511	10062	53183
2020-04-04	124632	308650	82543	10156	55743
2020-04-05	128948	336802	82602	10237	58226
2020-04-06	132547	366317	82665	10284	60500
2020-04-07	135586	397121	82718	10331	62589
2020-04-08	139422	428654	82809	10384	64586
2020-04-09	143626	462780	82883	10423	66220
2020-04-10	147577	496535	82941	10450	68192
2020-04-11	152271	526396	83014	10480	70029
2020-04-12	156363	555313	83134	10512	71686
2020-04-13	159516	580619	83213	10537	73303
2020-04-14	162488	607670	83306	10564	74877
2020-04-15	165155	636350	83356	10591	76389
2020-04-16	168941	667592	83403	10613	77995
2020-04-17	172434	699706	83760	10635	79494
2020-04-18	175925	732197	83787	10653	80868
2020-04-19	178972	758809	83805	10661	82211
2020-04-20	181228	784326	83817	10674	83505
2020-04-21	183957	811865	83853	10683	84802
2020-04-22	187327	840351	83868	10694	85996
2020-04-23	189973	869170	83884	10708	87026
2020-04-24	192994	905358	83899	10718	88194
2020-04-25	195351	938154	83909	10728	89328
2020-04-26	197675	965785	83912	10738	90481
2020-04-27	199414	988197	83918	10752	91472
2020-04-28	201505	1012582	83940	10761	92584
2020-04-29	203591	1039909	83944	10765	93657
2020-04-30	205463	1069424	83956	10774	94640
